Date,Plot,System,Block,Eggs,NumPlantsPer35FT,Plants/Acre,Plants/Hectare,Plants/Plot,Masses/Plot,Masses/Plant,Perc_Affected_Plants,Eggs/Plot
7/14/2022,121,1,1,1093,68,68000,168031.5109,8839.986557,14,0.001583713,0.158371282,1093
7/14/2022,122,2,1,1106,66,66000,163089.4076,8579.986953,21,0.002447556,0.244755617,1166
7/14/2022,124,3,1,810,68,68000,168031.5109,8839.986557,11,0.001244346,0.124434578,860
7/20/2022,221,1,2,1575,65,65000,160618.356,8449.987151,23,0.002721898,0.272189763,1575
7/20/2022,222,3,2,1701,69,69000,170502.5625,8969.98636,35,0.003901901,0.390190114,1759
7/20/2022,224,2,2,601,67,67000,165560.4592,8709.986755,10,0.001148107,0.114810737,601
7/15/2022,322,3,3,709,69,69000,170502.5625,8969.98636,15,0.001672243,0.167224335,746
7/15/2022,323,1,3,237,68,68000,168031.5109,8839.986557,5,0.000565612,0.056561172,288
7/15/2022,324,2,3,1425,66,66000,163089.4076,8579.986953,19,0.002214456,0.221445558,1476
7/19/2022,431,3,4,1118,65,65000,160618.356,8449.987151,21,0.002485211,0.248521088,1118
7/19/2022,432,1,4,401,66,66000,163089.4076,8579.986953,7,0.000815852,0.081585206,401
7/19/2022,433,2,4,1553,66,66000,163089.4076,8579.986953,28,0.003263408,0.326340823,1553
