Date,GDD,GDD.2,EggMass_number,Final_Visit,Visit_num,Plot,Row_num,Egg_num,Entry ,Block,System,SpringCover,CashCrop,FallCover, Treatment,SoilDisturbance_num,AboveGroundDisturbance_num,SamplingEvent,NumPlantsPer35FT,Plants/Acre,Plants/Hectare,Plants/Plot,EggsPerPlot,MassesPerPlot,Eggs/Plant
7/14/2022,1246,1391,3,0,1,121,3,55,2,1,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,68,68000,168031.5109,8839.986557,1093,14,0.123642722
7/14/2022,1246,1391,19,0,1,122,3,52,2,1,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,0,0,1,66,66000,163089.4076,8579.986953,1106,20,0.128904625
7/14/2022,1246,1391,43,0,1,124,12,5,2,1,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,68,68000,168031.5109,8839.986557,810,10,0.091629099
7/15/2022,1267,1391,58,0,1,322,2,45,2,3,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,69,69000,170502.5625,8969.98636,709,14,0.079041369
7/15/2022,1267,1391,99,0,1,323,3,35,2,3,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,68,68000,168031.5109,8839.986557,237,4,0.026809996
7/15/2022,1267,1391,76,0,1,324,1,25,2,3,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,9,2,2,66,66000,163089.4076,8579.986953,1425,18,0.166084169
7/19/2022,1360,1391,110,0,1,431,1,56,2,4,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,65,65000,160618.356,8449.987151,1118,21,0.132307893
7/19/2022,1360,1391,177,0,1,432,2,70,2,4,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,66,66000,163089.4076,8579.986953,401,7,0.046736668
7/19/2022,1360,1391,138,0,1,433,1,24,2,4,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,9,2,2,66,66000,163089.4076,8579.986953,1553,28,0.181002606
7/20/2022,1391,1391,192,0,1,221,1,80,2,2,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,65,65000,160618.356,8449.987151,1575,23,0.186390816
7/20/2022,1391,1391,221,0,1,222,12,19,2,2,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,69,69000,170502.5625,8969.98636,1701,34,0.189632395
7/20/2022,1391,1391,265,1,1,224,1,26,2,2,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,9,2,2,67,67000,165560.4592,8709.986755,601,10,0.069001253
7/26/2022,1542,1564,3,0,2,121,3,55,2,1,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,68,68000,168031.5109,8839.986557,1039,13,0.117534115
7/26/2022,1542,1564,19,0,2,122,3,52,2,1,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,0,0,1,66,66000,163089.4076,8579.986953,1166,21,0.135897643
7/26/2022,1542,1564,43,0,2,124,12,5,2,1,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,68,68000,168031.5109,8839.986557,860,11,0.097285216
7/26/2022,1542,1564,58,0,2,322,2,45,2,3,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,69,69000,170502.5625,8969.98636,717,14,0.079933232
7/26/2022,1542,1564,99,1,2,323,3,35,2,3,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,68,68000,168031.5109,8839.986557,288,6,0.032579235
7/26/2022,1542,1564,76,1,2,324,1,25,2,3,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,9,2,2,66,66000,163089.4076,8579.986953,1476,19,0.172028234
7/26/2022,1542,1564,110,1,2,431,1,56,2,4,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,65,65000,160618.356,8449.987151,1118,21,0.132307893
7/26/2022,1542,1564,138,1,2,433,1,24,2,4,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,9,2,2,66,66000,163089.4076,8579.986953,1553,28,0.181002606
7/26/2022,1564,1564,177,1,2,432,2,70,2,4,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,66,66000,163089.4076,8579.986953,401,7,0.046736668
7/27/2022,1564,1564,192,1,2,221,1,80,2,2,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2,65,65000,160618.356,8449.987151,1575,23,0.186390816
7/27/2022,1564,1564,221,1,2,222,12,19,2,2,3,Red Clover/ Cereal Rye,Corn,Cereal Rye,Reduced,9,2,2,69,69000,170502.5625,8969.98636,1791,35,0.199665855
7/27/2022,1564,1564,265,1,2,224,1,26,2,2,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,9,2,2,67,67000,165560.4592,8709.986755,453,9,0.052009264
